No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,Time 1,Time 2,delay 1,delay 2,jitter,,,,,,Time 1,Time 2,delay,delay 2,jitter
38,1.017332,35.186.224.25,192.168.100.11,TLSv1.2,238,Application Data,,,,,,,,,,,1.017332,1.017332,0,7.80E-05,-7.80E-05,,,,,,1.017332,1.017332,0,7.80E-05,-0.000078
39,1.017332,35.186.224.25,192.168.100.11,TLSv1.2,93,Application Data,,,,,,,,,,,1.017332,1.01741,7.80E-05,0.001171,-0.001093,,,,,,1.017332,1.01741,7.80E-05,0.001171,-0.001093
40,1.01741,192.168.100.11,35.186.224.25,TCP,54,61103  >  443 [ACK] Seq=198 Ack=1200 Win=512 Len=0,,,,,,,,,,,1.01741,1.018581,0.001171,0.012408,-0.011237,,,,,,1.01741,1.018581,0.001171,0.012408,-0.011237
41,1.018581,192.168.100.11,35.186.224.25,TLSv1.2,93,Application Data,,,,,,,,,,,1.018581,1.030989,0.012408,0.497893,-0.485485,,,,,,1.018581,1.030989,0.012408,0.497893,-0.485485
42,1.030989,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=1200 Ack=237 Win=594 Len=0,,,,,,,,,,,1.030989,1.528882,0.497893,0,0.497893,,,,,,1.030989,1.528882,0.497893,0,0.497893
43,1.528882,23.192.200.108,192.168.100.11,TLSv1.2,85,Encrypted Alert,,,,,,,,,,,1.528882,1.528882,0,0.00045,-0.00045,,,,,,1.528882,1.528882,0,0.00045,-0.00045
44,1.528882,23.192.200.108,192.168.100.11,TCP,54,"443  >  61289 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",,,,,,,,,,,1.528882,1.529332,0.00045,0.000245,0.000205,,,,,,1.528882,1.529332,0.00045,0.000245,0.000205
45,1.529332,192.168.100.11,23.192.200.108,TCP,54,61289  >  443 [ACK] Seq=1 Ack=33 Win=1020 Len=0,,,,,,,,,,,1.529332,1.529577,0.000245,2.60E-05,0.000219,,,,,,1.529332,1.529577,0.000245,2.60E-05,0.000219
46,1.529577,23.192.200.108,192.168.100.11,TCP,54,"[TCP Out-Of-Order] 443  >  61289 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",,,,,,,,,,,1.529577,1.529603,2.60E-05,5.016702,-5.016676,,,,,,1.529577,1.529603,2.60E-05,5.016702,-5.016676
47,1.529603,192.168.100.11,23.192.200.108,TCP,54,[TCP Dup ACK 45#1] 61289  >  443 [ACK] Seq=1 Ack=33 Win=1020 Len=0,,,,,,,,,,,1.529603,6.546305,5.016702,0.000227,5.016475,,,,,,1.529603,6.546305,5.016702,0.000227,5.016475
48,6.546305,117.18.237.29,192.168.100.11,TCP,54,"80  >  61208 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0",,,,,,,,,,,6.546305,6.546532,0.000227,1.363628,-1.363401,,,,,,6.546305,6.546532,0.000227,1.363628,-1.363401
49,6.546532,192.168.100.11,117.18.237.29,TCP,54,61208  >  80 [ACK] Seq=1 Ack=2 Win=64952 Len=0,,,,,,,,,,,6.546532,7.91016,1.363628,5.40E-05,1.363574,,,,,,6.546532,7.91016,1.363628,5.40E-05,1.363574
50,7.91016,192.168.100.11,35.186.224.25,TLSv1.2,169,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,7.91016,7.910214,5.40E-05,0.081625,-0.081571,,,,,,7.91016,7.910214,5.40E-05,0.081625,-0.081571
51,7.910214,192.168.100.11,35.186.224.25,TCP,136,"[TCP Out-Of-Order] 61103  >  443 [PSH, ACK] Seq=237 Ack=1200 Win=512 Len=82",,,,,,,,,,,7.910214,7.991839,0.081625,0,0.081625,,,,,,7.910214,7.991839,0.081625,0,0.081625
52,7.991839,35.186.224.25,192.168.100.11,TCP,66,[TCP Window Update] 443  >  61103 [ACK] Seq=1200 Ack=237 Win=605 Len=0 SLE=319 SRE=434,,,,,,,,,,,7.991839,7.991839,0,0.090451,-0.090451,,,,,,7.991839,7.991839,0,0.090451,-0.090451
